0:A2M	chr12	.	9268558
1:NAT2	chr8	.	18248755
2:ACADM	chr1	.	76190032
3:ACADS	chr12	.	121163541
4:ACADVL	chr17	.	7123150
5:ACAT1	chr11	.	107992258
6:ACVRL1	chr12	.	52301202
7:PSEN1	chr14	.	73603143
8:ADA	chr20	.	43280376
9:SGCA	chr17	.	48243366
10:ADRB2	chr5	.	148206156
11:ADRB3	chr8	.	37824184
12:ADSL	chr22	.	40742504
13:AGA	chr4	.	178363657
14:AGL	chr1	.	100316045
15:AGT	chr1	.	230850336
16:AGXT	chr2	.	241808162
17:ALAD	chr9	.	116163618
18:ALAS2	chrX	.	55057497
19:ABCD1	chrX	.	152990323
20:ALDOA	chr16	.	30064411
21:ALDOB	chr9	.	104198062
22:AMPD1	chr1	.	115238239
23:ANK1	chr8	.	41655140
24:APC	chr5	.	112073556
25:APOA1	chr11	.	116708338
26:APOC3	chr11	.	116700624
27:APOE	chr19	.	45409006
28:APOH	chr17	.	64225556
29:FAS	chr10	.	90750288
30:AR	chrX	.	66763874
31:ARG1	chr6	.	131894344
32:ARSB	chr5	.	78282357
33:ARSL	chrX	.	2882494
34:ASL	chr7	.	65540776
35:ASPA	chr17	.	3379296
36:ASS1	chr9	.	133320094
37:ATM	chr11	.	108093559
38:ATP7A	chrX	.	77166153
39:ATP7B	chr13	.	52585630
40:AVPR2	chrX	.	153170529
41:BCHE	chr3	.	165555253
42:BCKDHB	chr6	.	80816344
43:BLM	chr15	.	91260558
44:BRCA2	chr13	.	32889617
45:BTK	chrX	.	100641212
46:SERPING1	chr11	.	57365027
47:C2	chr6	.	31895254
48:C3	chr19	.	6720693
49:C6	chr5	.	41213695
50:C8B	chr1	.	57431813
51:CA2	chr8	.	86376131
52:CACNA1A	chr19	.	13617274
53:CACNA1S	chr1	.	201081694
54:CAPN3	chr15	.	42651698
55:CBS	chr21	.	44496040
56:CD36	chr7	.	80267832
57:CD3G	chr11	.	118215059
58:CD40LG	chrX	.	135730336
59:CDK4	chr12	.	58146230
60:CDKN1C	chr11	.	2906995
61:CDKN2A	chr9	.	21975132
62:CETP	chr16	.	56995835
63:CHRNA1	chr2	.	175629200
64:CHRNE	chr17	.	4806369
65:LYST	chr1	.	236030227
66:ERCC8	chr5	.	60240905
67:CLCN1	chr7	.	143013219
68:CLCN5	chrX	.	49832215
69:CLCNKB	chr1	.	16370231
70:CLN3	chr16	.	28503403
71:CNGA1	chr4	.	48014961
72:COL1A1	chr17	.	48279000
73:COL1A2	chr7	.	94023873
74:COL3A1	chr2	.	189839099
75:COL4A3	chr2	.	228029281
76:COL4A4	chr2	.	228029275
77:COL5A1	chr9	.	137533651
78:COL7A1	chr3	.	48632593
79:COMP	chr19	.	18902114
80:CP	chr3	.	148939832
81:CPOX	chr3	.	98312455
82:CPT2	chr1	.	53662101
83:CST3	chr20	.	23618685
84:CSTB	chr21	.	45196256
85:CYBA	chr16	.	88717492
86:CYP17A1	chr10	.	104597290
87:CYP19A1	chr15	.	51630795
88:CYP1B1	chr2	.	38303323
89:CYP2D6	chr22	.	42526883
90:DDB2	chr11	.	47236493
91:DLD	chr7	.	107531552
92:DMD	chrX	.	33357726
93:DPYD	chr1	.	98386615
94:SLC26A3	chr7	.	107443678
95:SLC26A2	chr5	.	149340300
96:TOR1A	chr9	.	132586441
97:EDNRB	chr13	.	78549664
98:TAFAZZIN	chrX	.	153639854
99:EMD	chrX	.	153607597
100:ENG	chr9	.	130617052
101:EPB42	chr15	.	43513323
102:EPHX1	chr1	.	226013002
103:EPOR	chr19	.	11495018
104:ERCC3	chr2	.	128051752
105:ERCC5	chr13	.	103498191
106:ERCC6	chr10	.	50747169
107:ESR1	chr6	.	152128814
108:ETFA	chr15	.	76603810
109:EXT1	chr8	.	119124058
110:F11	chr4	.	187187118
111:F13A1	chr6	.	6320924
112:F5	chr1	.	169555769
113:F7	chr13	.	113760102
114:F8	chrX	.	154250998
115:F9	chrX	.	138612895
116:FABP2	chr4	.	120243316
117:FANCA	chr16	.	89883065
118:FANCC	chr9	.	98079991
119:FAH	chr15	.	80445233
120:FBN1	chr15	.	48937985
121:MS4A2	chr11	.	59856137
122:FECH	chr18	.	55253969
123:FGFR2	chr10	.	123357972
124:FGFR3	chr4	.	1795039
125:FH	chr1	.	241683085
126:FXN	chr9	.	71650479
127:FSHR	chr2	.	49381666
128:FTL	chr19	.	49468566
129:FUCA1	chr1	.	24194859
130:FUT1	chr19	.	49258647
131:FUT3	chr19	.	5851485
132:FUT6	chr19	.	5839742
133:G6PC1	chr17	.	41052814
134:GAA	chr17	.	78075355
135:GALC	chr14	.	88459615
136:GALK1	chr17	.	73761280
137:GALT	chr9	.	34646586
138:GAMT	chr19	.	1401569
139:GBA1	chr1	.	155211069
140:GBE1	chr3	.	81810950
141:GCDH	chr19	.	13001943
142:GCGR	chr17	.	79762008
143:GCH1	chr14	.	55369542
144:GCK	chr7	.	44229022
145:GHR	chr5	.	42423877
146:GIPR	chr19	.	46171502
147:GJA1	chr6	.	121756723
148:GJB1	chrX	.	70443056
149:GK	chrX	.	30671476
150:GLI3	chr7	.	42276618
151:GLA	chrX	.	100663001
152:GLDC	chr9	.	6645692
153:GLRA1	chr5	.	151304397
154:GNAT1	chr3	.	50229043
155:GP1BA	chr17	.	4835570
156:GP9	chr3	.	128779610
157:GPI	chr19	.	34856032
158:NR3C1	chr5	.	142783254
159:GSN	chr9	.	124062079
160:GSS	chr20	.	33543601
161:MSH6	chr2	.	48010221
162:GUCY2D	chr17	.	7905988
163:GUSB	chr7	.	65447301
164:HADHA	chr2	.	26467594
165:HADHB	chr2	.	26467616
166:HBG2	chr11	.	5276011
167:SERPIND1	chr22	.	21128383
168:CFH	chr1	.	196621008
169:HGD	chr3	.	120401418
170:HK1	chr10	.	71078603
