"chr","tss","refseq_id","gene_symbol"
"chr12",9268558,"NM_000014","A2M"
"chr8",18248755,"NM_000015","NAT2"
"chr1",76190032,"NM_000016","ACADM"
"chr12",121163541,"NM_000017","ACADS"
"chr17",7123150,"NM_000018","ACADVL"
"chr11",107992258,"NM_000019","ACAT1"
"chr12",52301202,"NM_000020","ACVRL1"
"chr14",73603143,"NM_000021","PSEN1"
"chr20",43280376,"NM_000022","ADA"
"chr17",48243366,"NM_000023","SGCA"
"chr5",148206156,"NM_000024","ADRB2"
"chr8",37824184,"NM_000025","ADRB3"
"chr22",40742504,"NM_000026","ADSL"
"chr4",178363657,"NM_000027","AGA"
"chr1",100316045,"NM_000028","AGL"
"chr1",230850336,"NM_000029","AGT"
"chr2",241808162,"NM_000030","AGXT"
"chr9",116163618,"NM_000031","ALAD"
"chrX",55057497,"NM_000032","ALAS2"
"chrX",152990323,"NM_000033","ABCD1"
"chr16",30064411,"NM_000034","ALDOA"
"chr9",104198062,"NM_000035","ALDOB"
"chr1",115238239,"NM_000036","AMPD1"
"chr8",41655140,"NM_000037","ANK1"
"chr5",112073556,"NM_000038","APC"
"chr11",116708338,"NM_000039","APOA1"
"chr11",116700624,"NM_000040","APOC3"
"chr19",45409006,"NM_000041","APOE"
"chr17",64225556,"NM_000042","APOH"
"chr10",90750288,"NM_000043","FAS"
"chrX",66763874,"NM_000044","AR"
"chr6",131894344,"NM_000045","ARG1"
"chr5",78282357,"NM_000046","ARSB"
"chrX",2882494,"NM_000047","ARSL"
"chr7",65540776,"NM_000048","ASL"
"chr17",3379296,"NM_000049","ASPA"
"chr9",133320094,"NM_000050","ASS1"
"chr11",108093559,"NM_000051","ATM"
"chrX",77166153,"NM_000052","ATP7A"
"chr13",52585630,"NM_000053","ATP7B"
"chrX",153170529,"NM_000054","AVPR2"
"chr3",165555253,"NM_000055","BCHE"
"chr6",80816344,"NM_000056","BCKDHB"
"chr15",91260558,"NM_000057","BLM"
"chr13",32889617,"NM_000059","BRCA2"
"chrX",100641212,"NM_000061","BTK"
"chr11",57365027,"NM_000062","SERPING1"
"chr6",31895254,"NM_000063","C2"
"chr19",6720693,"NM_000064","C3"
"chr5",41213695,"NM_000065","C6"
"chr1",57431813,"NM_000066","C8B"
"chr8",86376131,"NM_000067","CA2"
"chr19",13617274,"NM_000068","CACNA1A"
"chr1",201081694,"NM_000069","CACNA1S"
"chr15",42651698,"NM_000070","CAPN3"
"chr21",44496040,"NM_000071","CBS"
"chr7",80267832,"NM_000072","CD36"
"chr11",118215059,"NM_000073","CD3G"
"chrX",135730336,"NM_000074","CD40LG"
"chr12",58146230,"NM_000075","CDK4"
"chr11",2906995,"NM_000076","CDKN1C"
"chr9",21975132,"NM_000077","CDKN2A"
"chr16",56995835,"NM_000078","CETP"
"chr2",175629200,"NM_000079","CHRNA1"
"chr17",4806369,"NM_000080","CHRNE"
"chr1",236030227,"NM_000081","LYST"
"chr5",60240905,"NM_000082","ERCC8"
"chr7",143013219,"NM_000083","CLCN1"
"chrX",49832215,"NM_000084","CLCN5"
"chr1",16370231,"NM_000085","CLCNKB"
"chr16",28503403,"NM_000086","CLN3"
"chr4",48014961,"NM_000087","CNGA1"
"chr17",48279000,"NM_000088","COL1A1"
"chr7",94023873,"NM_000089","COL1A2"
"chr2",189839099,"NM_000090","COL3A1"
"chr2",228029281,"NM_000091","COL4A3"
"chr2",228029275,"NM_000092","COL4A4"
"chr9",137533651,"NM_000093","COL5A1"
"chr3",48632593,"NM_000094","COL7A1"
"chr19",18902114,"NM_000095","COMP"
"chr3",148939832,"NM_000096","CP"
"chr3",98312455,"NM_000097","CPOX"
"chr1",53662101,"NM_000098","CPT2"
"chr20",23618685,"NM_000099","CST3"
"chr21",45196256,"NM_000100","CSTB"
"chr16",88717492,"NM_000101","CYBA"
"chr10",104597290,"NM_000102","CYP17A1"
"chr15",51630795,"NM_000103","CYP19A1"
"chr2",38303323,"NM_000104","CYP1B1"
"chr22",42526883,"NM_000106","CYP2D6"
"chr11",47236493,"NM_000107","DDB2"
"chr7",107531552,"NM_000108","DLD"
"chrX",33357726,"NM_000109","DMD"
"chr1",98386615,"NM_000110","DPYD"
"chr7",107443678,"NM_000111","SLC26A3"
"chr5",149340300,"NM_000112","SLC26A2"
"chr9",132586441,"NM_000113","TOR1A"
"chr13",78549664,"NM_000115","EDNRB"
"chrX",153639854,"NM_000116","TAFAZZIN"
"chrX",153607597,"NM_000117","EMD"
"chr9",130617052,"NM_000118","ENG"
"chr15",43513323,"NM_000119","EPB42"
"chr1",226013002,"NM_000120","EPHX1"
"chr19",11495018,"NM_000121","EPOR"
"chr2",128051752,"NM_000122","ERCC3"
"chr13",103498191,"NM_000123","ERCC5"
"chr10",50747169,"NM_000124","ERCC6"
"chr6",152128814,"NM_000125","ESR1"
"chr15",76603810,"NM_000126","ETFA"
"chr8",119124058,"NM_000127","EXT1"
"chr4",187187118,"NM_000128","F11"
"chr6",6320924,"NM_000129","F13A1"
"chr1",169555769,"NM_000130","F5"
"chr13",113760102,"NM_000131","F7"
"chrX",154250998,"NM_000132","F8"
"chrX",138612895,"NM_000133","F9"
"chr4",120243316,"NM_000134","FABP2"
"chr16",89883065,"NM_000135","FANCA"
"chr9",98079991,"NM_000136","FANCC"
"chr15",80445233,"NM_000137","FAH"
"chr15",48937985,"NM_000138","FBN1"
"chr11",59856137,"NM_000139","MS4A2"
"chr18",55253969,"NM_000140","FECH"
"chr10",123357972,"NM_000141","FGFR2"
"chr4",1795039,"NM_000142","FGFR3"
"chr1",241683085,"NM_000143","FH"
"chr9",71650479,"NM_000144","FXN"
"chr2",49381666,"NM_000145","FSHR"
"chr19",49468566,"NM_000146","FTL"
"chr1",24194859,"NM_000147","FUCA1"
"chr19",49258647,"NM_000148","FUT1"
"chr19",5851485,"NM_000149","FUT3"
"chr19",5839742,"NM_000150","FUT6"
"chr17",41052814,"NM_000151","G6PC1"
"chr17",78075355,"NM_000152","GAA"
"chr14",88459615,"NM_000153","GALC"
"chr17",73761280,"NM_000154","GALK1"
"chr9",34646586,"NM_000155","GALT"
"chr19",1401569,"NM_000156","GAMT"
"chr1",155211069,"NM_000157","GBA1"
"chr3",81810950,"NM_000158","GBE1"
"chr19",13001943,"NM_000159","GCDH"
"chr17",79762008,"NM_000160","GCGR"
"chr14",55369542,"NM_000161","GCH1"
"chr7",44229022,"NM_000162","GCK"
"chr5",42423877,"NM_000163","GHR"
"chr19",46171502,"NM_000164","GIPR"
"chr6",121756723,"NM_000165","GJA1"
"chrX",70443056,"NM_000166","GJB1"
"chrX",30671476,"NM_000167","GK"
"chr7",42276618,"NM_000168","GLI3"
"chrX",100663001,"NM_000169","GLA"
"chr9",6645692,"NM_000170","GLDC"
"chr5",151304397,"NM_000171","GLRA1"
"chr3",50229043,"NM_000172","GNAT1"
"chr17",4835570,"NM_000173","GP1BA"
"chr3",128779610,"NM_000174","GP9"
"chr19",34856032,"NM_000175","GPI"
"chr5",142783254,"NM_000176","NR3C1"
"chr9",124062079,"NM_000177","GSN"
"chr20",33543601,"NM_000178","GSS"
"chr2",48010221,"NM_000179","MSH6"
"chr17",7905988,"NM_000180","GUCY2D"
"chr7",65447301,"NM_000181","GUSB"
"chr2",26467594,"NM_000182","HADHA"
"chr2",26467616,"NM_000183","HADHB"
"chr11",5276011,"NM_000184","HBG2"
"chr22",21128383,"NM_000185","SERPIND1"
"chr1",196621008,"NM_000186","CFH"
"chr3",120401418,"NM_000187","HGD"
"chr10",71078603,"NM_000188","HK1"
"chr2",75059782,"NM_000189","HK2"
"chr11",118955587,"NM_000190","HMBS"
"chr1",24151949,"NM_000191","HMGCL"
"chr12",114846247,"NM_000192","TBX5"
"chr7",155604967,"NM_000193","SHH"
"chrX",133594175,"NM_000194","HPRT1"
"chr10",100206720,"NM_000195","HPS1"
"chr16",67465036,"NM_000196","HSD11B2"
"chr9",99064434,"NM_000197","HSD17B3"
"chr1",119957743,"NM_000198","HSD3B2"
"chr17",78194199,"NM_000199","SGSH"
"chr4",70894130,"NM_000200","HTN3"
